set,sheet,questions,parts,fields,agreed,adjudicated,flagged,not_verbatim,tokens,seconds,reason
UCL_MechEng,UCL_MechEng/Worksheet_1.pdf,12,13,63,16,26,3,1,81259,291.022,
UCL_MechEng,UCL_MechEng/Worksheet_2.pdf,5,10,40,6,0,4,0,10351,27.401,
